PerfectFlite SLCF
Firmware: 1.0
Software: 1.1
Serial Number: 3971
Apogee: 1883' AGL
Ground Elevation: -344' MSL
NumSamps: 920
Flight Number: 3
Main Setting: 500' AGL
Apogee Delay: 0 Seconds
Drogue At: 10.95 Seconds
Main At: 35.15 Seconds
Max Drogue Current: 3 Amps
Max Main Current: 3 Amps
Comments: 
Data: (Time, Altitude, Velocity, Temperature (F), Voltage)
9.45, 1834, 58, 46.60, 9.40
22.15, 1255, -59, 46.35, 9.40
22.20, 1253, -60, 46.36, 9.40
22.25, 1253, -60, 46.35, 9.40
22.30, 1250, -61, 46.35, 9.40
22.35, 1249, -62, 46.35, 9.40
22.40, 1244, -63, 46.36, 9.40
22.45, 1241, -63, 46.35, 9.40
22.50, 1238, -63, 46.35, 9.40
22.55, 1236, -62, 46.35, 9.40
22.60, 1234, -62, 46.35, 9.40
22.65, 1233, -62, 46.35, 9.40
22.70, 1236, -61, 46.35, 9.40
22.75, 1234, -60, 46.35, 9.40
22.80, 1236, -60, 46.35, 9.40
22.85, 1231, -59, 46.35, 9.40
22.90, 1226, -59, 46.35, 9.40
22.95, 1222, -58, 46.35, 9.40
23.00, 1219, -58, 46.35, 9.40
23.05, 1218, -58, 46.35, 9.40
23.10, 1212, -58, 46.35, 9.40
23.15, 1201, -59, 46.35, 9.40
23.20, 1198, -59, 46.35, 9.40
23.25, 1192, -60, 46.36, 9.40
23.30, 1188, -60, 46.35, 9.40
23.35, 1184, -61, 46.35, 9.40
23.40, 1181, -61, 46.35, 9.40
23.45, 1176, -61, 46.35, 9.40
23.50, 1172, -62, 46.35, 9.40
23.55, 1167, -63, 46.35, 9.40
23.60, 1163, -65, 46.35, 9.40
23.65, 1161, -66, 46.36, 9.40
23.70, 1161, -68, 46.35, 9.40
23.75, 1160, -69, 46.35, 9.40
23.80, 1157, -69, 46.35, 9.40
23.85, 1153, -68, 46.35, 9.40
23.90, 1158, -67, 46.35, 9.40
23.95, 1156, -66, 46.35, 9.40
24.00, 1145, -65, 46.35, 9.40
24.05, 1144, -64, 46.35, 9.40
24.10, 1141, -64, 46.35, 9.40
24.15, 1140, -63, 46.35, 9.40
24.20, 1135, -62, 46.35, 9.40
24.25, 1133, -62, 46.35, 9.40
24.30, 1129, -61, 46.33, 9.40
24.35, 1125, -61, 46.35, 9.40
24.40, 1122, -61, 46.33, 9.40
24.45, 1119, -61, 46.33, 9.40
24.50, 1114, -60, 46.35, 9.40
24.55, 1109, -60, 46.33, 9.40
24.60, 1104, -60, 46.31, 9.40
24.65, 1099, -61, 46.33, 9.40
24.70, 1098, -62, 46.33, 9.40
24.75, 1099, -63, 46.33, 9.40
24.80, 1100, -64, 46.31, 9.40
24.85, 1095, -65, 46.31, 9.40
24.90, 1094, -66, 46.33, 9.40
24.95, 1096, -66, 46.33, 9.40
25.00, 1091, -66, 46.31, 9.40
25.05, 1084, -66, 46.31, 9.40
25.10, 1082, -65, 46.31, 9.40
25.15, 1075, -65, 46.31, 9.40
